type,id,reason
Actor,11265,not_in_neo4j
Actor,24854,not_in_neo4j
Actor,41696,not_in_neo4j
Actor,58343,not_in_neo4j
Actor,73928,not_in_neo4j
Actor,79264,not_in_neo4j
Actor,86838,not_in_neo4j
Actor,102083,not_in_neo4j
Actor,108612,not_in_neo4j
Actor,119455,not_in_neo4j
Actor,120688,not_in_neo4j
Actor,125872,not_in_neo4j
Actor,130662,not_in_neo4j
Actor,130902,not_in_neo4j
Actor,134485,not_in_neo4j
Actor,147896,not_in_neo4j
Actor,150022,not_in_neo4j
Actor,223734,not_in_neo4j
Actor,228563,not_in_neo4j
Actor,238022,not_in_neo4j
Actor,238204,not_in_neo4j
Actor,238732,not_in_neo4j
Actor,239683,not_in_neo4j
Actor,544739,not_in_neo4j
Actor,551504,not_in_neo4j
Actor,555504,not_in_neo4j
Actor,555565,not_in_neo4j
Actor,563458,not_in_neo4j
Actor,570530,not_in_neo4j
Actor,578773,not_in_neo4j
Actor,582494,not_in_neo4j
Actor,589069,not_in_neo4j
Actor,591168,not_in_neo4j
Actor,706271,not_in_neo4j
Actor,936272,not_in_neo4j
Actor,937212,not_in_neo4j
Actor,1003158,not_in_neo4j
Actor,1042001,not_in_neo4j
Actor,1043348,not_in_neo4j
Actor,1043349,not_in_neo4j
Actor,1048658,not_in_neo4j
Actor,1050893,not_in_neo4j
Actor,1056611,not_in_neo4j
Actor,1071434,not_in_neo4j
Actor,1074005,not_in_neo4j
Actor,1074042,not_in_neo4j
Actor,1086697,not_in_neo4j
Actor,1112311,not_in_neo4j
Actor,1166714,not_in_neo4j
Actor,1174315,not_in_neo4j
Actor,1174316,not_in_neo4j
Actor,1180456,not_in_neo4j
Actor,1182563,not_in_neo4j
Actor,1187602,not_in_neo4j
Actor,1198170,not_in_neo4j
Actor,1205207,not_in_neo4j
Actor,1226343,not_in_neo4j
Actor,1240285,not_in_neo4j
Actor,1261534,not_in_neo4j
Actor,1268918,not_in_neo4j
Actor,1285057,not_in_neo4j
Actor,1300473,not_in_neo4j
Actor,1316074,not_in_neo4j
Actor,1320604,not_in_neo4j
Actor,1320606,not_in_neo4j
Actor,1321430,not_in_neo4j
Actor,1324684,not_in_neo4j
Actor,1325415,not_in_neo4j
Actor,1345985,not_in_neo4j
Actor,1356147,not_in_neo4j
Actor,1381533,not_in_neo4j
Actor,1397303,not_in_neo4j
Actor,1407405,not_in_neo4j
Actor,1409578,not_in_neo4j
Actor,1409579,not_in_neo4j
Actor,1413085,not_in_neo4j
Actor,1417805,not_in_neo4j
Actor,1470010,not_in_neo4j
Actor,1475064,not_in_neo4j
Actor,1486677,not_in_neo4j
Actor,1487560,not_in_neo4j
Actor,1502419,not_in_neo4j
Actor,1508452,not_in_neo4j
Actor,1530758,not_in_neo4j
Actor,1567927,not_in_neo4j
Actor,1579802,not_in_neo4j
Actor,1584244,not_in_neo4j
Actor,1589356,not_in_neo4j
Actor,1592100,not_in_neo4j
Actor,1597058,not_in_neo4j
Actor,1598645,not_in_neo4j
Actor,1619957,not_in_neo4j
Actor,1629868,not_in_neo4j
Actor,1674846,not_in_neo4j
Actor,1737434,not_in_neo4j
Actor,1751759,not_in_neo4j
Actor,1807014,not_in_neo4j
Actor,1833650,not_in_neo4j
Actor,1850926,not_in_neo4j
Actor,1879700,not_in_neo4j
Actor,1998560,not_in_neo4j
Actor,2016886,not_in_neo4j
Actor,2027858,not_in_neo4j
Actor,2079765,not_in_neo4j
Actor,2080350,not_in_neo4j
Actor,2243239,not_in_neo4j
Actor,2256090,not_in_neo4j
Actor,2308831,not_in_neo4j
Actor,2317079,not_in_neo4j
Actor,2385865,not_in_neo4j
Actor,2506722,not_in_neo4j
Actor,2615739,not_in_neo4j
Actor,2738652,not_in_neo4j
Actor,2761814,not_in_neo4j
Actor,2891053,not_in_neo4j
Actor,2981986,not_in_neo4j
Actor,3030433,not_in_neo4j
Actor,3430239,not_in_neo4j
Actor,3610797,not_in_neo4j
Actor,4194488,not_in_neo4j
Actor,4615977,not_in_neo4j
Actor,5909241,not_in_neo4j
